id,name
Wiley Post-Will Rogers Mem,0
Deadhorse,1
Ralph Wien Memorial,2
Fairbanks Intl,3
Nome,4
St Mary's,5
Aniak,6
Anchorage Intl,7
Tuluksak,8
Akiachak,9
Akiak,10
Kwethluk,11
Bethel,12
Napaskiak,13
Napakiak,14
Merle K (Mudhole) Smith,15
Tuntutuliak,16
Eek,17
Kongiganak,18
Kwigillingok,19
Quinhagak,20
Yakutat,21
Dillingham,22
King Salmon,23
Gustavus,24
Juneau Intl,25
Kodiak,26
St Paul Island,27
Sitka,28
Port Heiden,29
James A Johnson Petersburg,30
Wrangell,31
Ketchikan Intl,32
Sand Point,33
Cold Bay,34
Unalaska,35
Eareckson As,36
Adak Naf,37
Bellingham Intl,38
Glacier Park Intl,39
Minot Intl,40
William R Fairchild Intl,41
Grand Forks Afb,42
Grand Forks Intl,43
Spokane Intl,44
Great Falls Intl,45
Seattle-Tacoma Intl,46
Pangborn Memorial,47
Grant County,48
Missoula Intll,49
Hector Intll,50
Duluth Intl,51
Bismarck Muni,52
Pullman/Moscow Regional,53
Helena Regional,54
Yakima Air Terminal,55
Marquette County,56
Lewiston-Nez Perce County,57
Tri-Cities,58
Walla Walla Regional,59
Bert Mooney,60
Billings Logan Intl,61
Gallatin Field,62
Eastern Oregon Regional At Pen,63
Portland Intl,64
Mcnary Fld,65
Minneapolis-St Paul Intl/Wold-,66
Bangor Intl,67
Central Wisconsin,68
Cherry Capital,69
Austin Straubel Intll,70
Burlington Intl,71
Outagamie County,72
Roberts Field,73
Mahlon Sweet Field,74
Rapid City Regional,75
Wittman Regional,76
Rochester Intll,77
La Crosse Muni,78
Portland Intl Jetport,79
Jackson Hole,80
Joe Foss Field,81
Boise Air Terminal /Gowen Fld/,82
Mbs Intll,83
Fanning Field,84
Friedman Memorial,85
North Bend Muni,86
Muskegon County,87
Oneida County,88
Dane County Regional-Truax Fie,89
Greater Rochester Intl,90
Syracuse Hancock Intl,91
Bishop Intll,92
General Mitchell Intll,93
Greater Buffalo Intl,94
Manchester,95
Pocatello Regional,96
Natrona County Intl,97
Kent County Intl,98
Capital City,99
Albany County,100
Waterloo Muni,101
Tompkins County,102
Twin Falls-Sun Valley Regional,103
Detroit City,104
Sioux Gateway,105
Dubuque Regional,106
Rogue Valley Intl- M,107
General Edward Lawrence Logan,108
Worcester Muni,109
Kalamazoo/Battle Creek Interna,110
Detroit Metropolitan Wayne Cou,111
Binghamton Regional/Edwin A Li,112
Greater Rockford,113
Elmira/Corning Regional,114
Klamath Falls Intll,115
Erie Intl,116
Chicago O'hare Intl,117
Bradley Intl,118
Cedar Rapids Muni,119
William B. Heilig Field,120
Merrill C Meigs,121
Chicago Midway,122
Jack Mc Namara Field,123
Theodore Francis Green State,124
Michiana Rgnl Transportation C,125
Toledo Express,126
Des Moines Intl,127
Stewart Int'l,128
Quad-City,129
Cleveland-Hopkins Intl,130
Wilkes-Barre/Scranton Intl,131
Eppley Airfield,132
Tweed-New Haven,133
Youngstown-Warren Regional,134
Westchester County,135
Fort Wayne Intll,136
Arcata,137
Akron-Canton Regional,138
Lincoln Muni,139
University Park,140
Elko Muni-J.C. Harris Field,141
Long Island Mac Arthur,142
Salt Lake City Intl,143
Burlington Regional,144
La Guardia,145
Newark Intl,146
Greater Peoria Regional,147
Lehigh Valley Intll,148
John F Kennedy Intl,149
Redding Muni,150
Pittsburgh Intll,151
Yampa Valley,152
Bloomington/Normal,153
Purdue University,154
Mercer County,155
Harrisburg Intll,156
University Of Illinois-Willard,157
Port Columbus Intl,158
Quincy Muni Baldwin Field,159
James M Cox Dayton Intl,160
Philadelphia Intl,161
Capital,162
Decatur,163
Chico Muni,164
Stapleton Intl,165
Indianapolis Intl,166
Eagle County Regional,167
Reno/Tahoe Intll,168
Atlantic City Intll,169
Hulman Regional,170
Kansas City Intl,171
Aspen-Pitkin Co/Sardy Field,172
Baltimore-Washington Intl,173
Walker Field,174
Cincinnati/Northern Kentucky I,175
Washington Dulles Intl,176
Lake Tahoe,177
Washington National,178
Columbia Regional,179
City Of Colorado Springs Muni,180
Lambert-St Louis Intl,181
Sacramento Metropolitan,182
Gunnison County,183
Sonoma County,184
Yeager,185
Tri-State/Milton J.Ferguson Fi,186
Pueblo Memorial,187
Louisville Intl,188
Charlottesville-Albemarle,189
Evansville Regional,190
Blue Grass,191
Stockton Metropolitan,192
Greenbrier Valley,193
Williamson County Regional,194
Forney Aaf,195
Metropolitan Oakland Intl,196
Wichita Mid-Continent,197
Modesto City-County--Harry Sha,198
Mammoth Lakes,199
San Francisco Intl,200
Richmond Intll,201
San Jose Intll,202
Roanoke Regional/Woodrum Field,203
Merced Municipal/Macready Fiel,204
Springfield Regional,205
Cape Girardeau Regional,206
Durango-La Plata County,207
Joplin Regional,208
Newport News/Williamsburg Inte,209
Barkley Regional,210
Norfolk Intl,211
Fresno Air Terminal,212
Monterey Peninsula,213
Tri-Cities Regional Tn/Va,214
Tulsa Intl,215
Nashville Intll,216
Piedmont Triad Intll,217
Mc Carran Intl,218
Drake Field,219
Raleigh-Durham Intll,220
Mc Ghee Tyson,221
Asheville Regional,222
Meadows Field,223
Will Rogers World,224
Fort Smith Regional,225
Kinston Regional Jetport At St,226
San Luis Obispo County-Mc Ches,227
Amarillo Intl,228
Charlotte/Douglas Intl,229
Flagstaff Pulliam,230
Memphis Intl,231
Albuquerque Intl,232
Lovell Field,233
Fayetteville Regional/Grannis,234
Santa Maria Pub/Capt G Allan H,235
Greenville-Spartanburg,236
Albert J Ellis,237
Adams Field,238
Huntsville Intl-Carl T Jones F,239
Lawton Muni,240
Santa Barbara Muni,241
New Hanover Intll,242
Oxnard,243
Burbank-Glendale-Pasadena,244
Ontario Intl,245
Sheppard Afb/Wichita Falls Mun,246
Los Angeles Intl,247
Columbia Metropolitan,248
Palm Springs Regional,249
Long Beach /Daugherty Field/,250
Myrtle Beach Intl,251
John Wayne Airport-Orange Coun,252
Lubbock Intl,253
The William B Hartsfield Atlan,254
Birmingham Intl,255
Texarkana Regional-Webb Field,256
Phoenix Sky Harbor Intl,257
Bush Field,258
Charleston Afb/Intl,259
Dallas/Fort Worth Intl,260
Dallas Love Field,261
San Diego Intl-Lindbergh Fld,262
Yuma Mcas/Yuma Intl,263
Columbus Metropolitan,264
Monroe Regional,265
Shreveport Regional,266
Abilene Regional,267
Gregg County,268
Tyler Pounds Field,269
Jackson Intll,270
Dannelly Field,271
Savannah Intll,272
Tucson Intl,273
Midland Intll,274
El Paso Intl,275
Waco Regional,276
Alexandria Esler Regional,277
Mathis Field,278
Killeen Muni,279
Mobile Regional,280
Easterwood Field,281
"Baton Rouge Metropolitan, Ryan",282
Jacksonville Intl,283
Eglin Afb,284
Pensacola Regional,285
Tallahassee Regional,286
Robert Mueller Muni,287
Panama City-Bay Co Intl,288
Lafayette Regional,289
Lake Charles Regional,290
New Orleans Intl/Moisant Fld/,291
Houston Intercontinental,292
Jefferson County,293
Gainesville Regional,294
William P Hobby,295
San Antonio Intl,296
Daytona Beach Intl,297
Orlando Intl,298
Melbourne Intll,299
Tampa Intl,300
St Petersburg/Clearwater Intl,301
Corpus Christi Intl,302
Laredo Intl,303
Sarasota/Bradenton Intl,304
Palm Beach Intl,305
Southwest Florida Intl,306
Rio Grande Valley Intl,307
Mc Allen Miller Intl,308
Fort Lauderdale/Hollywood Intl,309
Miami Intl,310
Lihue,311
Honolulu Intl,312
Molokai,313
Kapalua,314
Kahului,315
Lanai,316
Keahole-Kona Intll,317
Hilo Intll,318
Rafael Hernandez,319
Luis Munoz Marin Intl,320
Cyril E King,321
Eugenio Maria De Hostos,322
Mercedita,323
Alexander Hamilton,324
Johnston Atoll,325
Saipan Intl,326
Rota Intl,327
Guam Intll,328
Babelthuap/Koror,329
Pago Pago Intl,330
West Tinian,331
